province;lon;lat
Guangdong;113;23
Chongqing;106.55278;29.56278
Guangxi;109;24
Shandong;119;36
Yunnan;102;25
Shaanxi;109;36
Jiangxi;116;28
Jiangsu;120;33
Gansu;102;38
Sichuan;102.5;30.5
Shanghai;121.45806;31.22222
Beijing;116.39723;39.9075
Hubei;112;31
Hainan;109.6;19.2
Shanxi;112;37
Anhui;117;32
Henan;114;34
Jilin;126.56028;43.85083
Fujian;117.84278;26.545
Zhejiang;120;29
Hunan;112;28
Hebei;116;39
Xinjiang;85.45611;42.56917
Guizhou;107;27
Liaoning;123;41
Ningxia;106;37
Heilongjiang;128;48
Qinghai;96;36
Tianjin;117.17667;39.14222
Inner Mongolia;112;44
Tibet;90;32
